id,name,category,quantity,low_stock_threshold,predicted_demand,smart_restock_qty,supplier
1,Basmati Rice,Grains,45,10,19,0,AgroSupplies
2,Whole Wheat Flour,Grains,3,5,20,23,AgroSupplies
3,Toor Dal,Pulses,12,8,14,6,DalTraders
4,Sunflower Oil,Oils,2,5,10,12,OilMart
5,Full Cream Milk,Dairy,8,10,17,16,MilkFresh
6,Butter,Dairy,1,3,15,18,MilkFresh
7,Tomatoes,Vegetables,20,10,13,2,FarmFresh
8,Onions,Vegetables,4,8,12,10,FarmFresh
9,Potatoes,Vegetables,35,10,11,0,FarmFresh
10,Sugar,Condiments,6,5,10,8,SweetSupplies
11,Salt,Condiments,50,10,10,0,SweetSupplies
12,Turmeric Powder,Spices,2,3,5,13,SpiceWorld
13,Coriander Powder,Spices,7,3,5,7,SpiceWorld
14,Eggs (tray/30),Poultry,5,4,1,9,PoultryFarm
15,Bread,Bakery,3,5,4,13,BakeryHub
